sofifa_id,short_name,overall,potential,value_eur,wage_eur,club_name,league_name,Year
158023,L. Messi,93,95,100500000,550000,FC Barcelona,Spain Primera Division,2015
20801,Cristiano Ronaldo,92,92,79000000,375000,Real Madrid CF,Spain Primera Division,2015
41236,Z. Ibrahimović,90,90,52500000,275000,Paris Saint-Germain,French Ligue 1,2015
167495,M. Neuer,90,90,63500000,300000,FC Bayern München,German 1. Bundesliga,2015
41,Iniesta,89,89,36000000,250000,FC Barcelona,Spain Primera Division,2015
176580,L. Suárez,89,91,49500000,300000,FC Barcelona,Spain Primera Division,2015
156616,F. Ribéry,88,88,33000000,200000,FC Bayern München,German 1. Bundesliga,2015
167397,Falcao,88,88,46500000,250000,Manchester United,English Premier League,2015
183277,E. Hazard,88,90,40500000,210000,Chelsea,English Premier League,2015
155862,Sergio Ramos,87,87,31500000,220000,Real Madrid CF,Spain Primera Division,2015
164240,Thiago Silva,87,87,29000000,190000,Paris Saint-Germain,French Ligue 1,2015
168542,David Silva,87,87,36500000,220000,Manchester City,English Premier League,2015
173731,G. Bale,87,91,39000000,200000,Real Madrid CF,Spain Primera Division,2015
177003,L. Modrić,87,87,36500000,220000,Real Madrid CF,Spain Primera Division,2015
188545,R. Lewandowski,87,89,44000000,210000,FC Bayern München,German 1. Bundesliga,2015
153079,S. Agüero,86,87,45500000,230000,Manchester City,English Premier League,2015
176635,M. Özil,86,87,44000000,190000,Arsenal,English Premier League,2015
178603,M. Hummels,86,88,35500000,200000,Borussia Dortmund,German 1. Bundesliga,2015
183898,Á. Di María,86,88,45500000,230000,Manchester United,English Premier League,2015
188350,M. Reus,86,88,40000000,180000,Borussia Dortmund,German 1. Bundesliga,2015
189596,T. Müller,86,88,39000000,200000,FC Bayern München,German 1. Bundesliga,2015
190871,Neymar,86,91,31000000,210000,FC Barcelona,Spain Primera Division,2015
192119,T. Courtois,86,90,27000000,170000,Chelsea,English Premier League,2015
198710,J. Rodríguez,86,92,35000000,190000,Real Madrid CF,Spain Primera Division,2015
165153,K. Benzema,85,87,27000000,200000,Real Madrid CF,Spain Primera Division,2015
167948,H. Lloris,85,86,21000000,160000,Tottenham Hotspur,English Premier League,2015
178088,Juan Mata,85,86,27000000,190000,Manchester United,English Premier League,2015
179813,E. Cavani,85,87,25500000,200000,Paris Saint-Germain,French Ligue 1,2015
181872,A. Vidal,85,87,23000000,190000,Juventus,Italian Serie A,2015
182521,T. Kroos,85,88,23000000,170000,Real Madrid CF,Spain Primera Division,2015
183907,J. Boateng,85,86,21000000,170000,FC Bayern München,German 1. Bundesliga,2015
189511,Sergio Busquets,85,89,20000000,170000,FC Barcelona,Spain Primera Division,2015
192318,M. Götze,85,91,21000000,150000,FC Bayern München,German 1. Bundesliga,2015
138956,G. Chiellini,84,84,17500000,150000,Juventus,Italian Serie A,2015
143745,A. Turan,84,88,23000000,180000,Atlético de Madrid,Spain Primera Division,2015
